age,perc_of_killed,preg_rate,surv_rate,hunter_perc_killed
2,0.821206994,0.831521739,0.941176471,7.783783784
3,0.708403835,0.842391304,0.941176471,11.45945946
4,0.539199098,0.858695652,0.941176471,11.45945946
5,0.764805415,0.885869565,0.921568627,10.59459459
6,1.216018049,0.89673913,0.91503268,9.297297297
7,2.344049633,0.923913043,0.895424837,8.216216216
8,2.231246475,0.913043478,0.882352941,6.810810811
9,1.610829103,0.929347826,0.875816993,6.054054054
10,3.528482798,0.934782609,0.862745098,5.297297297
11,4.882120699,0.940217391,0.843137255,4.864864865
12,4.036097011,0.913043478,0.823529412,4.108108108
13,7.532994924,0.885869565,0.803921569,3.243243243
14,9.055837563,0.826086957,0.790849673,3.135135135
15,10.91708968,0.766304348,0.758169935,2.486486486
16,15.4856176,0.684782609,0.673202614,1.945945946
17,13.22955443,0.592391304,0.581699346,1.513513514
18,11.25549915,0.483695652,0.490196078,0.864864865
19,6.404963339,0.369565217,0.392156863,0.432432432
20,2.738860688,0.25,0.300653595,0.324324324
