year,wolf,elk
1995,15.32258065,
1996,17.74193548,
1997,18.5483871,13375.85421
1998,29.83870968,11662.87016
1999,33.87096774,11662.87016
2000,29.83870968,14505.69476
2001,51.61290323,13339.40774
2002,58.06451613,11954.44191
2003,70.16129032,9184.510251
2004,69.35483871,8309.794989
2005,66.93548387,
2006,41.93548387,9403.189066
2007,55.64516129,6669.703872
2008,83.87096774,6232.346241
2009,50.80645161,7070.615034
2010,38.70967742,5977.220957
2011,34.67741935,4592.255125
2012,33.06451613,3972.665148
2013,24.19354839,
2014,30.64516129,3826.879271
2015,37.09677419,4810.933941
2016,37.90322581,4883.826879
2017,36.29032258,5321.18451
2018,32.25806452,7507.972665
2019,54.03225806,5794.98861
